"_iterations","baselearner","train_risk"
673,"exang_source_tensor",0.50570796578671
674,"exang_source_tensor",0.505671538230887
675,"cp_source_tensor",0.505635112433241
676,"age_spline",0.505581425879419
677,"thalach_spline",0.50552897366301
678,"trestbps_spline",0.505479248033771
679,"cp_source_tensor",0.505443018003401
680,"exang_source_tensor",0.505406903009926
681,"exang_source_tensor",0.505370898069731
682,"cp_source_tensor",0.505334899881902
683,"exang_source_tensor",0.505299060482904
684,"cp_source_tensor",0.50526323670374
685,"exang_source_tensor",0.505227561940486
686,"cp_source_tensor",0.505191911541265
687,"sex_one-hot",0.505123950773696
688,"trestbps_spline",0.50507526958433
689,"oldpeak_spline",0.50502563645615
690,"exang_source_tensor",0.504990202329711
691,"age_spline",0.504938102879013
692,"cp_source_tensor",0.504902705136943
693,"exang_source_tensor",0.504867467265768
694,"cp_source_tensor",0.504832240391058
695,"thalach_spline",0.5047818240711
696,"exang_source_tensor",0.504746794057866
697,"cp_source_tensor",0.504711782549311
698,"exang_source_tensor",0.50467691274025
699,"trestbps_spline",0.504629326614838
700,"cp_source_tensor",0.504594476697497
701,"exang_source_tensor",0.504559767944608
702,"cp_source_tensor",0.504525085692702
703,"exang_source_tensor",0.504490535404551
704,"cp_source_tensor",0.504456019833134
705,"age_spline",0.504405514149458
706,"exang_source_tensor",0.504371153433745
